index,continent,CNT,PV1MATH,ST57Q01
"(-5.95, -4.573](-0.441, 0.936]",Asia,Jordan,384.832077029,4.21974025974
"(-5.95, -4.573](-0.441, 0.936]",Asia,Kazakhstan,431.624485936,8.82095238095
"(-5.95, -4.573](-0.441, 0.936]",Asia,Malaysia,423.051466853,4.83522901937
"(-5.95, -4.573](-0.441, 0.936]",Asia,Qatar,379.448878036,4.31041106416
"(-5.95, -4.573](-0.441, 0.936]",Asia,Singapore,568.760544291,9.21739130435
"(-5.95, -4.573](-0.441, 0.936]",Asia,Thailand,441.222088266,5.94850693628
"(-5.95, -4.573](-0.441, 0.936]",Asia,Vietnam,510.589966687,5.79638854296
"(-5.95, -4.573](-0.441, 0.936]",Central America,Costa Rica,406.399389912,3.42590599211
"(-5.95, -4.573](-0.441, 0.936]",Europe,Austria,508.248726763,4.60669317429
"(-5.95, -4.573](-0.441, 0.936]",Europe,Belgium,521.685616956,5.55753857594
"(-5.95, -4.573](-0.441, 0.936]",Europe,Bulgaria,443.062233101,5.73115496603
"(-5.95, -4.573](-0.441, 0.936]",Europe,Croatia,470.188252215,5.87165281625
"(-5.95, -4.573](-0.441, 0.936]",Europe,Czech Republic,520.085614596,3.12942542078
"(-5.95, -4.573](-0.441, 0.936]",Europe,Denmark,488.60515823,4.48697694278
"(-5.95, -4.573](-0.441, 0.936]",Europe,Estonia,522.617693388,6.94350649351
"(-5.95, -4.573](-0.441, 0.936]",Europe,Finland,509.610262006,2.89821428571
"(-5.95, -4.573](-0.441, 0.936]",Europe,France,501.85037828,5.1413081497
"(-5.95, -4.573](-0.441, 0.936]",Europe,Germany,520.695638761,4.71835321277
"(-5.95, -4.573](-0.441, 0.936]",Europe,Greece,454.26040419,5.25222734255
"(-5.95, -4.573](-0.441, 0.936]",Europe,Hungary,486.180753906,6.403714565
"(-5.95, -4.573](-0.441, 0.936]",Europe,Iceland,494.880697337,4.09036144578
"(-5.95, -4.573](-0.441, 0.936]",Europe,Ireland,501.330822227,7.43212177695
"(-5.95, -4.573](-0.441, 0.936]",Europe,Italy,492.293153193,8.57776532899
"(-5.95, -4.573](-0.441, 0.936]",Europe,Latvia,495.957221349,6.44563609467
"(-5.95, -4.573](-0.441, 0.936]",Europe,Liechtenstein,539.416285965,3.23834196891
"(-5.95, -4.573](-0.441, 0.936]",Europe,Lithuania,478.975658597,6.69100169779
"(-5.95, -4.573](-0.441, 0.936]",Europe,Luxembourg,490.836630171,4.57836045811
"(-5.95, -4.573](-0.441, 0.936]",Europe,Montenegro,407.253696202,4.26036542516
"(-5.95, -4.573](-0.441, 0.936]",Europe,Netherlands,519.645476058,5.85966810967
"(-5.95, -4.573](-0.441, 0.936]",Europe,Norway,491.32659389,4.7679614988
"(-5.95, -4.573](-0.441, 0.936]",Europe,Poland,520.612114768,6.64980026631
"(-5.95, -4.573](-0.441, 0.936]",Europe,Portugal,486.360412284,3.7489504618
"(-5.95, -4.573](-0.441, 0.936]",Europe,Romania,446.033588693,7.28513046212
"(-5.95, -4.573](-0.441, 0.936]",Europe,Serbia,448.059651958,4.35598377282
"(-5.95, -4.573](-0.441, 0.936]",Europe,Slovenia,484.949207725,3.4990609069
"(-5.95, -4.573](-0.441, 0.936]",Europe,Spain,496.160350508,6.17579866838
"(-5.95, -4.573](-0.441, 0.936]",Europe,Sweden,482.236806727,3.61510067114
"(-5.95, -4.573](-0.441, 0.936]",Europe,Switzerland,521.245432366,4.05493597687
"(-5.95, -4.573](-0.441, 0.936]",Europe,Turkey,449.042730275,4.23499031633
"(-5.95, -4.573](-0.441, 0.936]",North America,Canada,511.355083202,4.81889068707
"(-5.95, -4.573](-0.441, 0.936]",North America,Mexico,418.910628588,5.39401329317
"(-5.95, -4.573](-0.441, 0.936]",Oceania,Australia,495.472698773,5.73166066607
"(-5.95, -4.573](-0.441, 0.936]",Oceania,New Zealand,504.16790901,4.24750646472
"(-5.95, -4.573](-0.441, 0.936]",South America,Argentina,396.478475176,3.67573964497
"(-5.95, -4.573](-0.441, 0.936]",South America,Brazil,382.955586786,3.43077192368
"(-5.95, -4.573](-0.441, 0.936]",South America,Chile,444.583091382,3.77564102564
"(-5.95, -4.573](-0.441, 0.936]",South America,Colombia,386.600996543,5.40238365494
"(-5.95, -4.573](-0.441, 0.936]",South America,Peru,367.86184841,5.45812941816
"(-5.95, -4.573](-0.441, 0.936]",South America,Uruguay,411.464680671,4.6794165316
"(-5.95, -4.573](0.936, 2.313]",Africa,Tunisia,388.046155865,3.54458161866
"(-5.95, -4.573](0.936, 2.313]",Asia,Indonesia,376.118984517,4.99201891812
"(-5.95, -4.573](0.936, 2.313]",Asia,Israel,470.808805138,4.71877065433
"(-5.95, -4.573](0.936, 2.313]",Asia,Japan,538.369851382,3.84481062469
"(-5.95, -4.573](0.936, 2.313]",Asia,Jordan,384.766079401,4.22086685699
"(-5.95, -4.573](0.936, 2.313]",Asia,Kazakhstan,431.624485936,8.82095238095
"(-5.95, -4.573](0.936, 2.313]",Asia,Malaysia,423.051466853,4.83522901937
"(-5.95, -4.573](0.936, 2.313]",Asia,Qatar,379.436198942,4.31158455393
"(-5.95, -4.573](0.936, 2.313]",Asia,Singapore,568.794591611,9.21845893311
"(-5.95, -4.573](0.936, 2.313]",Asia,Thailand,441.355520483,5.94833255049
"(-5.95, -4.573](0.936, 2.313]",Asia,Vietnam,510.589966687,5.79638854296
"(-5.95, -4.573](0.936, 2.313]",Central America,Costa Rica,406.452467819,3.42590599211
"(-5.95, -4.573](0.936, 2.313]",Europe,Austria,508.401268488,4.60615079365
"(-5.95, -4.573](0.936, 2.313]",Europe,Belgium,521.796918343,5.55936920223
"(-5.95, -4.573](0.936, 2.313]",Europe,Bulgaria,443.101096835,5.73675710594
"(-5.95, -4.573](0.936, 2.313]",Europe,Croatia,470.183330535,5.87538461538
"(-5.95, -4.573](0.936, 2.313]",Europe,Czech Republic,520.124516544,3.13221223543
"(-5.95, -4.573](0.936, 2.313]",Europe,Denmark,488.614669156,4.48645766688
"(-5.95, -4.573](0.936, 2.313]",Europe,Estonia,522.662265581,6.94875121635
"(-5.95, -4.573](0.936, 2.313]",Europe,Finland,509.658462268,2.89885836604
"(-5.95, -4.573](0.936, 2.313]",Europe,France,501.85037828,5.1413081497
"(-5.95, -4.573](0.936, 2.313]",Europe,Germany,520.684733929,4.71417595083
"(-5.95, -4.573](0.936, 2.313]",Europe,Greece,454.371796975,5.25506445672
"(-5.95, -4.573](0.936, 2.313]",Europe,Hungary,486.231235214,6.40260586319
"(-5.95, -4.573](0.936, 2.313]",Europe,Iceland,495.015234294,4.08479262673
"(-5.95, -4.573](0.936, 2.313]",Europe,Ireland,501.376419586,7.43792675357
"(-5.95, -4.573](0.936, 2.313]",Europe,Italy,492.385151508,8.58201138906
"(-5.95, -4.573](0.936, 2.313]",Europe,Latvia,496.029016421,6.44588104913
"(-5.95, -4.573](0.936, 2.313]",Europe,Liechtenstein,539.95154007,3.30412371134
"(-5.95, -4.573](0.936, 2.313]",Europe,Lithuania,479.03204344,6.6869063772
"(-5.95, -4.573](0.936, 2.313]",Europe,Luxembourg,491.081429977,4.58221024259
"(-5.95, -4.573](0.936, 2.313]",Europe,Montenegro,407.250136775,4.2588689849
"(-5.95, -4.573](0.936, 2.313]",Europe,Netherlands,519.728454867,5.85724585436
"(-5.95, -4.573](0.936, 2.313]",Europe,Norway,491.353102186,4.7707618394
"(-5.95, -4.573](0.936, 2.313]",Europe,Poland,520.655134759,6.65136393879
"(-5.95, -4.573](0.936, 2.313]",Europe,Portugal,486.531990059,3.75788005579
"(-5.95, -4.573](0.936, 2.313]",Europe,Romania,446.114989654,7.28423366834
"(-5.95, -4.573](0.936, 2.313]",Europe,Serbia,448.124586959,4.35675675676
"(-5.95, -4.573](0.936, 2.313]",Europe,Slovenia,485.059853146,3.49946380697
"(-5.95, -4.573](0.936, 2.313]",Europe,Spain,496.175138,6.17434551779
